"fips","state","total_population","asthma_count","obesity_rate_2016","obesity_rate_2017","pct_daily_smokers","meanAQI.Ozone","meanAQI.Other","pct_black","pct_white","lat","long"
"24",NA,NA,NA,16.9,15.7,0.137,47.0142547257515,85.5361925486633,0.293093144369504,0.513975924186801,39.063946,-76.802101
"25","Massachusetts",1376019,125763,15,15,0.136,38.1224547511312,118.215523310388,0.0670258423888229,0.726235047027669,42.230171,-71.530106
"26","Michigan",2189505,185141,13.9,17.3,0.204,43.3907392363932,149.40608010052,0.134533450250168,0.756197451900758,43.326618,-84.536095
"27","Minnesota",1290638,85117,13.4,10.4,0.152,33.0715214564369,135.051635571087,0.0565558419403289,0.807061135937993,45.694454,-93.900192
"28","Mississippi",720685,44741,26.2,26.1,0.227,38.9497950819672,50.8641427556118,0.37609531396114,0.571814497973886,32.741646,-89.678696
"29","Missouri",1386363,115545,14,12.7,0.221,41.6084828711256,103.819891287352,0.113055272973889,0.798304510003391,38.456085,-92.288368
"30","Montana",227377,12728,12.4,12.3,0.185,35.6409155937053,117.719151877415,NA,0.866121564377894,46.921925,-110.454353
"31","Nebraska",473569,29825,16.7,15.5,0.17,38.0445945945946,101.228354442542,0.0441734417344173,0.799566395663957,41.12537,-98.268082
"32","Nevada",677630,41264,14.5,14.7,0.165,48.1494435612083,101.240278693388,0.0833794630500969,0.498650705784666,38.313515,-117.055374
"33",NA,NA,NA,8.5,9.8,0.18,38.003726129483,46.908033033033,0.01053202199334,0.910632695732982,43.452492,-71.563896
"34","New Jersey",1987515,154201,14.8,14.8,0.14,43.4800741427247,208.808170024646,0.124493592157668,0.557293984730734,40.298904,-74.521011
"35","New Mexico",493051,47112,13.1,15.1,0.166,46.2627318718381,84.6526474958548,0.0164580664235735,0.379225386813837,34.840515,-106.248482
"36","New York",4181345,364877,14.8,15.3,0.142,38.8056718433491,67.8085481167658,0.141919205056837,0.555820305387197,42.165726,-74.948051
"37",NA,NA,NA,12.6,13.1,0.179,42.7305527493145,80.688867098867,0.210480269382191,0.636374734229239,35.630066,-79.806419
"38",NA,NA,NA,15.8,12.5,0.198,32.6327724945135,116.073907876853,0.0256233640997383,0.853698856591817,47.528912,-99.784012
"39","Ohio",2614072,171051,18.6,18.6,0.225,45.3086271567892,86.8494575786061,0.121060051247041,0.795818667044961,40.388783,-82.764915
"40","Oklahoma",961246,88720,18.1,18.7,0.196,39.9705557600294,103.502933868823,0.068643443485582,0.663123552936224,35.565342,-96.928917
"41","Oregon",869426,46438,10.2,11.4,0.162,34.5124826629681,80.8819594377118,0.0173869722256819,0.763308008469299,44.572021,-122.070938
"42","Pennsylvania",2673992,224979,14.2,16.8,0.18,41.7901780651015,118.944133897278,0.102946290649996,0.77266735141168,40.590752,-77.209755
"44","Rhode Island",208770,18846,19.2,16.8,0.144,41.943661971831,72.55643390426,0.055824045763882,0.727487917940625,41.680893,-71.51178
"45",NA,NA,NA,18.2,15.4,0.2,40.1668401874024,85.6939612654878,0.266539029821239,0.640022475183651,33.856892,-80.945007
"46",NA,NA,NA,13,13.6,0.181,36.9671689989236,82.0294333318679,0.0134003350083752,0.82735104091888,44.299782,-99.438828
"47",NA,NA,NA,19.2,15.6,0.221,44.6917771883289,130.675630749583,0.163721261035608,0.744314052909071,35.747845,-86.692345
"48",NA,NA,NA,21.3,18.5,0.143,39.571007474471,146.042723250576,0.11496671977276,0.425173759948194,31.054487,-97.563461
"49","Utah",919428,52108,9.5,8.7,0.088,47.8046564452016,133.655366917726,0.00980228720034675,0.787483746207448,40.150032,-111.862434
"50","Vermont",118142,9397,11.8,13,0.17,35.9873271889401,47.9667689161554,0.00833889259506338,0.934956637758506,44.045876,-72.710686
"51",NA,NA,NA,14.1,13.2,0.153,40.4572209375657,81.3761352205268,0.18501652043708,0.623160786546053,37.769337,-78.169968
"53","Washington",1628413,115898,8.7,10.1,0.139,35.3329023917259,98.4545482863228,0.0342499403433416,0.694684240816384,47.400902,-121.490494
"54",NA,NA,NA,19.9,20.3,0.248,39.8581020590868,68.40350871607,0.0342930908682719,0.924341920637593,38.491226,-80.954453
"55","Wisconsin",1287543,102501,14.6,14.3,0.171,40.053260045489,103.932217741812,0.0595379937047641,0.818949727028613,44.268543,-89.616508
"56",NA,NA,NA,12.9,10.6,0.189,42.5173994582205,131.053774231364,0.00702493853178785,0.847383210396909,42.755966,-107.30249
